
📌 Processing: /DATA/rohan_kirti/niladri/pks/Bengali/HBQ/Bangladesh_HBQ.xlsx
✅ Saved → HBQ | boli khela | Row 0
✅ Saved → HBQ | dariabandha | Row 56
✅ Saved → HBQ | dariabandha | Row 57
✅ Saved → HBQ | dariabandha | Row 58
✅ Saved → HBQ | dariabandha | Row 59
✅ Saved → HBQ | dariabandha | Row 60
✅ Saved → HBQ | dariabandha | Row 61
✅ Saved → HBQ | dariabandha | Row 62
✅ Saved → HBQ | dariabandha | Row 63
✅ Saved → HBQ | dariabandha | Row 64
✅ Saved → HBQ | dariabandha | Row 65
✅ Saved → HBQ | dariabandha | Row 66
✅ Saved → HBQ | dariabandha | Row 67
✅ Saved → HBQ | dariabandha | Row 68
✅ Saved → HBQ | dariabandha | Row 69
✅ Saved → HBQ | dariabandha | Row 70
✅ Saved → HBQ | dariabandha | Row 71
✅ Saved → HBQ | dariabandha | Row 72
✅ Saved → HBQ | dariabandha | Row 73
✅ Saved → HBQ | dariabandha | Row 74
✅ Saved → HBQ | dariabandha | Row 75
✅ Saved → HBQ | dariabandha | Row 76
✅ Saved → HBQ | dariabandha | Row 77
✅ Saved → HBQ | dariabandha | Row 78
✅ Saved → HBQ | dariabandha | Row 79
✅ Saved → HBQ | dariabandha | Row 80
✅ Saved → HBQ | dariabandha | Row 81
✅ Saved → HBQ | dariabandha | Row 82
✅ Saved → HBQ | dariabandha | Row 83
✅ Saved → HBQ | dariabandha | Row 84
✅ Saved → HBQ | dariabandha | Row 85
✅ Saved → HBQ | dariabandha | Row 86
✅ Saved → HBQ | dariabandha | Row 87
✅ Saved → HBQ | dariabandha | Row 88
✅ Saved → HBQ | dariabandha | Row 89
✅ Saved → HBQ | dariabandha | Row 90
✅ Saved → HBQ | dariabandha | Row 91
✅ Saved → HBQ | dariabandha | Row 92
✅ Saved → HBQ | dariabandha | Row 93
✅ Saved → HBQ | dariabandha | Row 94
✅ Saved → HBQ | dariabandha | Row 95
✅ Saved → HBQ | dariabandha | Row 96
✅ Saved → HBQ | dariabandha | Row 97
✅ Saved → HBQ | dariabandha | Row 98
✅ Saved → HBQ | dariabandha | Row 99
✅ Saved → HBQ | dariabandha | Row 100
✅ Saved → HBQ | dariabandha | Row 101
✅ Saved → HBQ | dariabandha | Row 102
✅ Saved → HBQ | dariabandha | Row 103
✅ Saved → HBQ | dariabandha | Row 104
✅ Saved → HBQ | dariabandha | Row 105
✅ Saved → HBQ | dariabandha | Row 106
✅ Saved → HBQ | dariabandha | Row 107
✅ Saved → HBQ | dariabandha | Row 108
✅ Saved → HBQ | dariabandha | Row 110
✅ Saved → HBQ | dariabandha | Row 111
✅ Saved → HBQ | dariabandha | Row 112
✅ Saved → HBQ | dariabandha | Row 113
✅ Saved → HBQ | dariabandha | Row 114
✅ Saved → HBQ | dariabandha | Row 115
✅ Saved → HBQ | dariabandha | Row 116
✅ Saved → HBQ | dariabandha | Row 117
✅ Saved → HBQ | dariabandha | Row 118
✅ Saved → HBQ | dariabandha | Row 119
✅ Saved → HBQ | dariabandha | Row 120
✅ Saved → HBQ | dariabandha | Row 121
✅ Saved → HBQ | dariabandha | Row 122
✅ Saved → HBQ | dariabandha | Row 123
✅ Saved → HBQ | dariabandha | Row 124
✅ Saved → HBQ | golla chut | Row 0
✅ Saved → HBQ | golla chut | Row 1
✅ Saved → HBQ | golla chut | Row 2
✅ Saved → HBQ | golla chut | Row 3
✅ Saved → HBQ | golla chut | Row 4
✅ Saved → HBQ | golla chut | Row 5
✅ Saved → HBQ | golla chut | Row 6
✅ Saved → HBQ | golla chut | Row 7
✅ Saved → HBQ | golla chut | Row 8
✅ Saved → HBQ | golla chut | Row 9
✅ Saved → HBQ | golla chut | Row 10
✅ Saved → HBQ | golla chut | Row 11
✅ Saved → HBQ | golla chut | Row 12
✅ Saved → HBQ | golla chut | Row 13
✅ Saved → HBQ | golla chut | Row 14
✅ Saved → HBQ | golla chut | Row 15
✅ Saved → HBQ | golla chut | Row 16
✅ Saved → HBQ | golla chut | Row 17
✅ Saved → HBQ | golla chut | Row 18
✅ Saved → HBQ | golla chut | Row 19
✅ Saved → HBQ | golla chut | Row 20
✅ Saved → HBQ | golla chut | Row 21
✅ Saved → HBQ | golla chut | Row 22
✅ Saved → HBQ | golla chut | Row 23
✅ Saved → HBQ | golla chut | Row 24
✅ Saved → HBQ | golla chut | Row 25
✅ Saved → HBQ | golla chut | Row 26
✅ Saved → HBQ | golla chut | Row 27
✅ Saved → HBQ | golla chut | Row 28
✅ Saved → HBQ | golla chut | Row 29
✅ Saved → HBQ | golla chut | Row 30
✅ Saved → HBQ | golla chut | Row 31
✅ Saved → HBQ | golla chut | Row 32
✅ Saved → HBQ | golla chut | Row 33
✅ Saved → HBQ | golla chut | Row 34
✅ Saved → HBQ | golla chut | Row 35
✅ Saved → HBQ | golla chut | Row 36
✅ Saved → HBQ | golla chut | Row 37
✅ Saved → HBQ | golla chut | Row 38
✅ Saved → HBQ | golla chut | Row 39
✅ Saved → HBQ | golla chut | Row 40
✅ Saved → HBQ | golla chut | Row 41
✅ Saved → HBQ | golla chut | Row 42
✅ Saved → HBQ | golla chut | Row 43
✅ Saved → HBQ | golla chut | Row 44
✅ Saved → HBQ | golla chut | Row 45
✅ Saved → HBQ | golla chut | Row 46
✅ Saved → HBQ | golla chut | Row 47
✅ Saved → HBQ | golla chut | Row 48
✅ Saved → HBQ | golla chut | Row 49
✅ Saved → HBQ | golla chut | Row 50
✅ Saved → HBQ | golla chut | Row 51
✅ Saved → HBQ | golla chut | Row 52
✅ Saved → HBQ | golla chut | Row 53
✅ Saved → HBQ | golla chut | Row 54
✅ Saved → HBQ | golla chut | Row 55
✅ Saved → HBQ | golla chut | Row 56
✅ Saved → HBQ | golla chut | Row 57
✅ Saved → HBQ | golla chut | Row 58
✅ Saved → HBQ | golla chut | Row 59
✅ Saved → HBQ | golla chut | Row 60
✅ Saved → HBQ | golla chut | Row 61
✅ Saved → HBQ | golla chut | Row 62
✅ Saved → HBQ | golla chut | Row 63
✅ Saved → HBQ | golla chut | Row 64
✅ Saved → HBQ | golla chut | Row 65
✅ Saved → HBQ | golla chut | Row 66
✅ Saved → HBQ | golla chut | Row 67
✅ Saved → HBQ | golla chut | Row 68
✅ Saved → HBQ | golla chut | Row 69
✅ Saved → HBQ | golla chut | Row 70
✅ Saved → HBQ | golla chut | Row 71
✅ Saved → HBQ | golla chut | Row 72
✅ Saved → HBQ | golla chut | Row 73
✅ Saved → HBQ | golla chut | Row 74
✅ Saved → HBQ | golla chut | Row 75
✅ Saved → HBQ | golla chut | Row 76
✅ Saved → HBQ | golla chut | Row 77
✅ Saved → HBQ | golla chut | Row 78
✅ Saved → HBQ | golla chut | Row 79
✅ Saved → HBQ | golla chut | Row 80
✅ Saved → HBQ | golla chut | Row 81
✅ Saved → HBQ | golla chut | Row 82
✅ Saved → HBQ | golla chut | Row 83
✅ Saved → HBQ | golla chut | Row 84
✅ Saved → HBQ | golla chut | Row 85
✅ Saved → HBQ | golla chut | Row 86
✅ Saved → HBQ | golla chut | Row 87
✅ Saved → HBQ | golla chut | Row 88
✅ Saved → HBQ | golla chut | Row 89
✅ Saved → HBQ | golla chut | Row 90
✅ Saved → HBQ | golla chut | Row 91
✅ Saved → HBQ | golla chut | Row 92
✅ Saved → HBQ | golla chut | Row 93
✅ Saved → HBQ | golla chut | Row 94
✅ Saved → HBQ | golla chut | Row 95
✅ Saved → HBQ | golla chut | Row 96
✅ Saved → HBQ | golla chut | Row 97
✅ Saved → HBQ | golla chut | Row 98
✅ Saved → HBQ | golla chut | Row 99
✅ Saved → HBQ | golla chut | Row 100
✅ Saved → HBQ | golla chut | Row 101
✅ Saved → HBQ | golla chut | Row 102
✅ Saved → HBQ | golla chut | Row 103
✅ Saved → HBQ | golla chut | Row 104
✅ Saved → HBQ | golla chut | Row 105
✅ Saved → HBQ | golla chut | Row 106
✅ Saved → HBQ | golla chut | Row 107
✅ Saved → HBQ | golla chut | Row 108
✅ Saved → HBQ | golla chut | Row 109
✅ Saved → HBQ | golla chut | Row 110
✅ Saved → HBQ | golla chut | Row 111
✅ Saved → HBQ | golla chut | Row 112
✅ Saved → HBQ | golla chut | Row 113
✅ Saved → HBQ | golla chut | Row 114
✅ Saved → HBQ | golla chut | Row 115
✅ Saved → HBQ | golla chut | Row 116
✅ Saved → HBQ | golla chut | Row 117
✅ Saved → HBQ | golla chut | Row 118
✅ Saved → HBQ | golla chut | Row 119
✅ Saved → HBQ | golla chut | Row 120
✅ Saved → HBQ | golla chut | Row 121
✅ Saved → HBQ | golla chut | Row 122
✅ Saved → HBQ | golla chut | Row 123
✅ Saved → HBQ | golla chut | Row 124
✅ Saved → HBQ | ha du du | Row 0
✅ Saved → HBQ | ha du du | Row 1
✅ Saved → HBQ | ha du du | Row 2
✅ Saved → HBQ | ha du du | Row 3
✅ Saved → HBQ | ha du du | Row 4
✅ Saved → HBQ | ha du du | Row 5
✅ Saved → HBQ | ha du du | Row 6
✅ Saved → HBQ | ha du du | Row 7
✅ Saved → HBQ | ha du du | Row 8
✅ Saved → HBQ | ha du du | Row 9
✅ Saved → HBQ | ha du du | Row 10
✅ Saved → HBQ | ha du du | Row 11
✅ Saved → HBQ | ha du du | Row 12
✅ Saved → HBQ | ha du du | Row 13
✅ Saved → HBQ | ha du du | Row 14
✅ Saved → HBQ | ha du du | Row 15
✅ Saved → HBQ | ha du du | Row 16
✅ Saved → HBQ | ha du du | Row 17
✅ Saved → HBQ | ha du du | Row 18
✅ Saved → HBQ | ha du du | Row 19
✅ Saved → HBQ | ha du du | Row 20
✅ Saved → HBQ | ha du du | Row 21
✅ Saved → HBQ | ha du du | Row 22
✅ Saved → HBQ | ha du du | Row 23
✅ Saved → HBQ | ha du du | Row 24
✅ Saved → HBQ | ha du du | Row 25
✅ Saved → HBQ | ha du du | Row 26
✅ Saved → HBQ | ha du du | Row 27
✅ Saved → HBQ | ha du du | Row 28
✅ Saved → HBQ | ha du du | Row 29
✅ Saved → HBQ | ha du du | Row 30
✅ Saved → HBQ | ha du du | Row 31
✅ Saved → HBQ | ha du du | Row 32
✅ Saved → HBQ | ha du du | Row 33
✅ Saved → HBQ | ha du du | Row 34
✅ Saved → HBQ | ha du du | Row 35
✅ Saved → HBQ | ha du du | Row 36
✅ Saved → HBQ | ha du du | Row 37
✅ Saved → HBQ | ha du du | Row 38
✅ Saved → HBQ | ha du du | Row 39
✅ Saved → HBQ | ha du du | Row 40
✅ Saved → HBQ | ha du du | Row 41
✅ Saved → HBQ | ha du du | Row 42
✅ Saved → HBQ | ha du du | Row 43
✅ Saved → HBQ | ha du du | Row 44
✅ Saved → HBQ | ha du du | Row 45
✅ Saved → HBQ | ha du du | Row 46
✅ Saved → HBQ | ha du du | Row 47
✅ Saved → HBQ | ha du du | Row 48
✅ Saved → HBQ | ha du du | Row 49
✅ Saved → HBQ | ha du du | Row 50
✅ Saved → HBQ | ha du du | Row 51
✅ Saved → HBQ | ha du du | Row 52
✅ Saved → HBQ | ha du du | Row 53
✅ Saved → HBQ | ha du du | Row 54
✅ Saved → HBQ | ha du du | Row 55
✅ Saved → HBQ | ha du du | Row 56
✅ Saved → HBQ | ha du du | Row 57
✅ Saved → HBQ | ha du du | Row 58
✅ Saved → HBQ | ha du du | Row 59
✅ Saved → HBQ | ha du du | Row 60
✅ Saved → HBQ | ha du du | Row 61
✅ Saved → HBQ | ha du du | Row 62
✅ Saved → HBQ | ha du du | Row 63
✅ Saved → HBQ | ha du du | Row 64
✅ Saved → HBQ | ha du du | Row 65
✅ Saved → HBQ | ha du du | Row 66
✅ Saved → HBQ | ha du du | Row 67
✅ Saved → HBQ | ha du du | Row 68
✅ Saved → HBQ | ha du du | Row 69
✅ Saved → HBQ | ha du du | Row 70
✅ Saved → HBQ | ha du du | Row 71
✅ Saved → HBQ | ha du du | Row 72
✅ Saved → HBQ | ha du du | Row 73
✅ Saved → HBQ | ha du du | Row 74
✅ Saved → HBQ | ha du du | Row 75
✅ Saved → HBQ | ha du du | Row 76
✅ Saved → HBQ | ha du du | Row 77
✅ Saved → HBQ | ha du du | Row 78
✅ Saved → HBQ | ha du du | Row 79
✅ Saved → HBQ | ha du du | Row 80
✅ Saved → HBQ | ha du du | Row 81
✅ Saved → HBQ | ha du du | Row 82
✅ Saved → HBQ | ha du du | Row 83
✅ Saved → HBQ | ha du du | Row 84
✅ Saved → HBQ | ha du du | Row 85
✅ Saved → HBQ | ha du du | Row 86
✅ Saved → HBQ | ha du du | Row 87
✅ Saved → HBQ | ha du du | Row 88
✅ Saved → HBQ | ha du du | Row 89
✅ Saved → HBQ | ha du du | Row 90
✅ Saved → HBQ | ha du du | Row 91
✅ Saved → HBQ | ha du du | Row 92
✅ Saved → HBQ | ha du du | Row 93
✅ Saved → HBQ | ha du du | Row 94
✅ Saved → HBQ | ha du du | Row 95
✅ Saved → HBQ | ha du du | Row 96
✅ Saved → HBQ | ha du du | Row 97
✅ Saved → HBQ | ha du du | Row 98
✅ Saved → HBQ | ha du du | Row 99
✅ Saved → HBQ | ha du du | Row 100
✅ Saved → HBQ | ha du du | Row 101
✅ Saved → HBQ | ha du du | Row 102
✅ Saved → HBQ | ha du du | Row 103
✅ Saved → HBQ | ha du du | Row 104
✅ Saved → HBQ | ha du du | Row 105
✅ Saved → HBQ | ha du du | Row 106
✅ Saved → HBQ | ha du du | Row 107
✅ Saved → HBQ | ha du du | Row 108
✅ Saved → HBQ | ha du du | Row 109
✅ Saved → HBQ | ha du du | Row 110
✅ Saved → HBQ | ha du du | Row 111
✅ Saved → HBQ | ha du du | Row 112
✅ Saved → HBQ | ha du du | Row 113
✅ Saved → HBQ | ha du du | Row 114
✅ Saved → HBQ | ha du du | Row 115
✅ Saved → HBQ | ha du du | Row 116
✅ Saved → HBQ | ha du du | Row 117
✅ Saved → HBQ | ha du du | Row 118
✅ Saved → HBQ | ha du du | Row 119
✅ Saved → HBQ | ha du du | Row 120
✅ Saved → HBQ | ha du du | Row 121
✅ Saved → HBQ | ha du du | Row 122
✅ Saved → HBQ | ha du du | Row 123
✅ Saved → HBQ | ha du du | Row 124
✅ Saved → HBQ | ha du du | Row 125
✅ Saved → HBQ | ha du du | Row 126
✅ Saved → HBQ | ha du du | Row 127
✅ Saved → HBQ | ha du du | Row 128
✅ Saved → HBQ | ha du du | Row 129
✅ Saved → HBQ | ha du du | Row 130
✅ Saved → HBQ | ha du du | Row 131
✅ Saved → HBQ | ha du du | Row 132
✅ Saved → HBQ | ha du du | Row 133
✅ Saved → HBQ | ha du du | Row 134
✅ Saved → HBQ | ha du du | Row 135
✅ Saved → HBQ | ha du du | Row 136
✅ Saved → HBQ | ha du du | Row 137
✅ Saved → HBQ | ha du du | Row 138
✅ Saved → HBQ | ha du du | Row 139
✅ Saved → HBQ | ha du du | Row 178
✅ Saved → HBQ | lathi khela | Row 0
✅ Saved → HBQ | lathi khela | Row 1
✅ Saved → HBQ | lathi khela | Row 2
✅ Saved → HBQ | lathi khela | Row 3
✅ Saved → HBQ | lathi khela | Row 4
✅ Saved → HBQ | lathi khela | Row 5
✅ Saved → HBQ | lathi khela | Row 6
✅ Saved → HBQ | lathi khela | Row 7
✅ Saved → HBQ | lathi khela | Row 8
✅ Saved → HBQ | lathi khela | Row 9
✅ Saved → HBQ | lathi khela | Row 10
✅ Saved → HBQ | lathi khela | Row 11
✅ Saved → HBQ | lathi khela | Row 12
✅ Saved → HBQ | lathi khela | Row 13
✅ Saved → HBQ | lathi khela | Row 14
✅ Saved → HBQ | lathi khela | Row 15
✅ Saved → HBQ | lathi khela | Row 16
✅ Saved → HBQ | lathi khela | Row 17
✅ Saved → HBQ | lathi khela | Row 18
✅ Saved → HBQ | lathi khela | Row 19
✅ Saved → HBQ | lathi khela | Row 20
✅ Saved → HBQ | lathi khela | Row 21
✅ Saved → HBQ | lathi khela | Row 22
✅ Saved → HBQ | lathi khela | Row 23
✅ Saved → HBQ | lathi khela | Row 24
✅ Saved → HBQ | lathi khela | Row 25
✅ Saved → HBQ | lathi khela | Row 26
✅ Saved → HBQ | lathi khela | Row 27
✅ Saved → HBQ | lathi khela | Row 28
✅ Saved → HBQ | lathi khela | Row 29
✅ Saved → HBQ | lathi khela | Row 30
✅ Saved → HBQ | lathi khela | Row 31
✅ Saved → HBQ | lathi khela | Row 32
✅ Saved → HBQ | lathi khela | Row 33
✅ Saved → HBQ | lathi khela | Row 34
✅ Saved → HBQ | lathi khela | Row 35
✅ Saved → HBQ | lathi khela | Row 36
✅ Saved → HBQ | lathi khela | Row 37
✅ Saved → HBQ | lathi khela | Row 38
✅ Saved → HBQ | lathi khela | Row 39
✅ Saved → HBQ | lathi khela | Row 40
✅ Saved → HBQ | lathi khela | Row 41
✅ Saved → HBQ | lathi khela | Row 42
✅ Saved → HBQ | lathi khela | Row 43
✅ Saved → HBQ | lathi khela | Row 44
✅ Saved → HBQ | lathi khela | Row 45
✅ Saved → HBQ | lathi khela | Row 46
✅ Saved → HBQ | lathi khela | Row 47
✅ Saved → HBQ | lathi khela | Row 48
✅ Saved → HBQ | lathi khela | Row 49
✅ Saved → HBQ | lathi khela | Row 50
✅ Saved → HBQ | lathi khela | Row 51
✅ Saved → HBQ | lathi khela | Row 52
✅ Saved → HBQ | lathi khela | Row 53
✅ Saved → HBQ | lathi khela | Row 54
✅ Saved → HBQ | lathi khela | Row 55
✅ Saved → HBQ | lathi khela | Row 56
✅ Saved → HBQ | lathi khela | Row 57
✅ Saved → HBQ | lathi khela | Row 58
✅ Saved → HBQ | lathi khela | Row 59
✅ Saved → HBQ | lathi khela | Row 60
✅ Saved → HBQ | lathi khela | Row 61
✅ Saved → HBQ | lathi khela | Row 62
✅ Saved → HBQ | lathi khela | Row 63
✅ Saved → HBQ | lathi khela | Row 64
✅ Saved → HBQ | lathi khela | Row 65
✅ Saved → HBQ | lathi khela | Row 66
✅ Saved → HBQ | lathi khela | Row 67
✅ Saved → HBQ | lathi khela | Row 68
✅ Saved → HBQ | lathi khela | Row 69
✅ Saved → HBQ | lathi khela | Row 70
✅ Saved → HBQ | lathi khela | Row 71
✅ Saved → HBQ | lathi khela | Row 72
✅ Saved → HBQ | lathi khela | Row 73
✅ Saved → HBQ | lathi khela | Row 74
✅ Saved → HBQ | lathi khela | Row 75
✅ Saved → HBQ | lathi khela | Row 76
✅ Saved → HBQ | lathi khela | Row 77
✅ Saved → HBQ | lathi khela | Row 78
✅ Saved → HBQ | lathi khela | Row 79
✅ Saved → HBQ | lathi khela | Row 80
✅ Saved → HBQ | lathi khela | Row 81
✅ Saved → HBQ | lathi khela | Row 82
✅ Saved → HBQ | lathi khela | Row 83
✅ Saved → HBQ | lathi khela | Row 84
✅ Saved → HBQ | lathi khela | Row 85
✅ Saved → HBQ | lathi khela | Row 86
✅ Saved → HBQ | lathi khela | Row 87
✅ Saved → HBQ | lathi khela | Row 88
✅ Saved → HBQ | lathi khela | Row 89
✅ Saved → HBQ | lathi khela | Row 90
✅ Saved → HBQ | lathi khela | Row 91
✅ Saved → HBQ | lathi khela | Row 92
✅ Saved → HBQ | lathi khela | Row 93
✅ Saved → HBQ | lathi khela | Row 94
✅ Saved → HBQ | lathi khela | Row 95
✅ Saved → HBQ | lathi khela | Row 96
✅ Saved → HBQ | lathi khela | Row 97
✅ Saved → HBQ | lathi khela | Row 98
✅ Saved → HBQ | lathi khela | Row 99
✅ Saved → HBQ | lathi khela | Row 100
✅ Saved → HBQ | lathi khela | Row 101
✅ Saved → HBQ | lathi khela | Row 102
✅ Saved → HBQ | lathi khela | Row 103
✅ Saved → HBQ | lathi khela | Row 104
