country,file,sheet,question,option,answer,score,What's wrong in Question,How can I improve the question,How can I improve the Options
RBQ,Bangladesh_RBQ.xlsx,boli khela,বলি খেলা খেলার সময় সাধারণ ভিড় কেমন হয়?,"ক) ছোট দল, খ) পরিবার এবং বন্ধুবান্ধব, গ) উৎসবমুখর জনতা, ঘ) দর্শকহীন",গ) উৎসবমুখর জনতা,1,no mistake,no correction needed,no correction needed
RBQ,Bangladesh_RBQ.xlsx,boli khela,বলি খেলায় খেলোয়াড়রা তাদের লক্ষ্যবস্তু চিহ্নিত করতে কী ব্যবহার করে?,"ক) একটি পতাকা, খ) চক, গ) একটি আঁকা বৃত্ত, ঘ) একটি পাথর",গ) একটি আঁকা বৃত্ত,0,"The question refers to 'বলি খেলা' (Boli Khela), which is not a recognized or standard sport. There is no widely known sport by this name in Bangladesh or internationally that uses a drawn circle as a target marker. The term may be a mistranslation or confusion with 'Kho Kho' or 'Pithoo' (a traditional Indian/Bangladeshi children's game), but even then, a drawn circle is not a standard target. The provided answer is factually incorrect in the context of real sports.",খেলায় খেলোয়াড়রা তাদের লক্ষ্যবস্তু চিহ্নিত করতে কী ব্যবহার করে?,"['ক) একটি পতাকা', 'খ) চক', 'গ) একটি আঁকা বৃত্ত', 'ঘ) একটি পাথর']"
RBQ,Bangladesh_RBQ.xlsx,boli khela,বলি খেলায় প্রতিটি দলে কতজন খেলোয়াড় থাকে?,"ক) ২-৩ জন খেলোয়াড়, খ) ৪-৫ জন খেলোয়াড়, গ) ৬-৭ জন খেলোয়াড়, ঘ) ১০-১২ জন খেলোয়াড়",খ) ৪-৫ জন খেলোয়াড়,0,"The question refers to 'বলি খেলায়' (Boli Khela), which is not a recognized or standard sport. It may be a mistranslation or misstatement of 'Kabaddi', a well-known traditional South Asian sport. The provided answer (4-5 players) is correct for Kabaddi, but the question as written is factually incorrect due to the ambiguous term 'বলি খেলায়'.",কাবাডি খেলায় প্রতিটি দলে কতজন খেলোয়াড় থাকে?,"['ক) ২-৩ জন খেলোয়াড়', 'খ) ৪-৫ জন খেলোয়াড়', 'গ) ৬-৭ জন খেলোয়াড়', 'ঘ) ১০-১২ জন খেলোয়াড়']"
RBQ,Bangladesh_RBQ.xlsx,boli khela,বলি খেলায় পাথর ছুঁড়ে মারা খেলোয়াড়ের ভূমিকা কী?,"ক) ডিফেন্ডার, খ) আক্রমণকারী, গ) গোলরক্ষক, ঘ) কোন নির্দিষ্ট ভূমিকা নেই",খ) আক্রমণকারী,0,"The question is factually incorrect. 'বলি খেলা' (Boli Khela) is a traditional Bengali sport involving throwing stones at a target or defending a position, but there is no recognized role of a 'পাথর ছুঁড়ে মারা' (stone-throwing) player as an 'আক্রমণকারী' (attacker) in any standardized or documented rules of the game. The game typically involves teams with roles like throwers and defenders, but no official position labels like in football. The provided answer is misleading and not grounded in established rules of Boli Khela.",বলি খেলায় পাথর ছুঁড়ে মারার ভূমিকা কী?,"['ক) আক্রমণকারী', 'খ) ডিফেন্ডার', 'গ) গোলরক্ষক', 'ঘ) কোন নির্দিষ্ট ভূমিকা নেই']"
RBQ,Bangladesh_RBQ.xlsx,boli khela,বলি খেলায় যদি পাথরটি সঠিকভাবে নিক্ষেপ না করা হয় তাহলে কী হবে?,"ক) থ্রোটিকে ফাউল হিসেবে বিবেচনা করা হয়, খ) দল একটি পয়েন্ট হারায়, গ) থ্রোটি পুনরাবৃত্তি হয়, ঘ) খেলা শেষ হয়",গ) নিক্ষেপটি পুনরাবৃত্তি হয়,0,"The question refers to 'বলি খেলা' (Boli Khela), which is not a recognized sport with standardized rules involving 'পাথর' (stone) throwing. The term 'থ্রোটিকে' (throw-tike) is a non-standard, hybrid Bengali-English term and appears incorrectly used. The correct context might be 'লাঠি খেলা' or 'stone throwing' in traditional contexts, but no official sport called 'Boli Khela' exists with such rules. The answer option 'গ) নিক্ষেপটি পুনরাবৃত্তি হয়' is grammatically inconsistent with the question's phrasing ('থ্রোটিকে'), and the entire premise is factually incorrect.","যদি পাথর নিক্ষেপ খেলায় পাথরটি সঠিকভাবে নিক্ষেপ না করা হয়, তাহলে কী হবে?","['ক) নিক্ষেপ ফাউল ��িসেবে বিবেচিত হয়', 'খ) দল একটি পয়েন্ট হারায়', 'গ) নিক্ষেপ পুনরাবৃত্তি করা হয়', 'ঘ) খেলা শেষ হয়']"
RBQ,Bangladesh_RBQ.xlsx,boli khela,"বলি খেলায়, প্রতিটি দল পাথর ছুঁড়ে মারার জন্য কতবার চেষ্টা করে?","ক) প্রতি খেলোয়াড়ের জন্য একটি প্রচেষ্টা, খ) প্রতি খেলোয়াড়ের জন্য দুটি প্রচেষ্টা, গ) প্রতি রাউন্ডে একটি প্রচেষ্টা, ঘ) সীমাহীন প্রচেষ্টা",ক) প্রতি খেলোয়াড়ের জন্য একটি প্রচেষ্টা,0,"The question refers to 'বলি খেলা' (Boli Khela), which is not a recognized or standard sport involving throwing stones. This appears to be a confusion with 'Jallikattu' (a Tamil bull-taming sport) or 'Stone Throwing' as a folk activity, but there is no official or widely documented sport called 'Boli Khela' with standardized rules about stone throwing attempts. The answer choice assumes a rule that does not exist in any verified sports context.","In the traditional folk game of stone throwing (common in some rural South Asian communities), how many attempts is each player typically allowed per round?","['ক) প্রতি খেলোয়াড়ের জন্য একটি প্রচেষ্টা', 'খ) প্রতি খেলোয়াড়ের জন্য দুটি প্রচেষ্টা', 'গ) প্রতি রাউন্ডে একটি প্রচেষ্টা', 'ঘ) সীমাহীন প্রচেষ্টা']"
RBQ,Bangladesh_RBQ.xlsx,boli khela,বলি খেলা শুরুর জন্য কে দায়ী?,"ক) রেফারি, খ) দলের অধিনায়ক, গ) দর্শক, ঘ) একজন স্থানীয় প্রবীণ",ক) রেফারি,1,no mistake,no correction needed,no correction needed
RBQ,Bangladesh_RBQ.xlsx,boli khela,বলি খেলায় যদি পাথরটি লক্ষ্যভ্রষ্ট হয়ে যায় তাহলে কী হবে?,"ক) অন্য দলটি ছুঁড়ে মারার সুযোগ পায়, খ) রাউন্ড চলতে থাকে, গ) দলটি একটি পয়েন্ট হারায়, ঘ) পাথরটি পুনরায় সেট করা হয়",খ) রাউন্ডটি চলতে থাকে,0,"The question refers to 'বলি খেলা' (Boli Khela), which is not a recognized or standard sport. The term 'পাথর' (stone) and the described scenario do not align with any known official rules of any traditional or modern sport. The answer 'রাউন্ড চলতে থাকে' is arbitrary and lacks factual basis. This appears to be a fabricated or misinterpreted question.","In the traditional Bengali game of 'Khunti' or 'Kho-Kho', if a stone (used as a marker) is accidentally displaced during play, what is the standard rule?","['ক) অন্য দলটি ছুঁড়ে মারার সুযোগ পায়', 'খ) রাউন্ডটি চলতে থাকে এবং পাথরটি পুনরায় স্থাপন করা হয়', 'গ) দলটি একটি পয়েন্ট হারায়', 'ঘ) খেলা বন্ধ করে পুনরায় শুরু করা হয়']"
RBQ,Bangladesh_RBQ.xlsx,boli khela,"বলি খেলায়, নিক্ষেপের সময় নিচের কোনটি নিষিদ্ধ?","ক) আন্ডারআর্ম থ্রো, খ) ওভারহেড থ্রো, গ) সাইডআর্ম থ্রো, ঘ) দুই হাত দিয়ে টস করা",ঘ) দুই হাত দিয়ে ছুঁড়ে মারা,0,"The question contains a Bengali term 'বলি খেলায়' which is ambiguous and not a recognized sport. It likely intends to refer to 'Kho Kho' or 'Ultimate Frisbee', but 'বলি' is not a standard term for any recognized sport. Additionally, the correct answer option is inconsistently phrased: 'দুই হাত দিয়ে টস করা' in the option list but 'দুই হাত দিয়ে ছুঁড়ে মারা' in the correct answer — this is a mismatch. The term 'টস' (toss) implies a light throw, while 'ছুঁড়ে মারা' implies a forceful throw, creating confusion. Also, in most ball games, two-handed throws are not universally forbidden; context is missing.","খো খো খেলায়, নিক্ষেপের সময় নিচের কোনটি নিষিদ্ধ?","['ক) আন্ডারআর্ম থ্রো', 'খ) ওভারহেড থ্রো', 'গ) সাইডআর্ম থ্রো', 'ঘ) দুই হাত দিয়ে টস করা']"
RBQ,Bangladesh_RBQ.xlsx,boli khela,বলি খেলায় সাধারণত কীভাবে পাথর নিক্ষেপ করা হয়?,"ক) এক হাতে, খ) উভয় হাতে, গ) গড়িয়ে, ঘ) লাথি মেরে",ক) এক হাতে,0,"The question refers to 'বলি খেলা' (Boli Khela), which is a traditional Bengali sport involving stone throwing, but the phrasing 'কীভাবে পাথর নিক্ষেপ করা হয়?' (How is the stone thrown?) is ambiguous and misleading. In Boli Khela, the stone is typically thrown with one hand, but the question does not clearly specify the context or cultural practice, and the options include irrelevant choices like 'লাথি মেরে' (kicking), which has no relation to stone throwing. The term 'বলি খেলা' may also be confused with 'Boli' as in 'Boli' (a form of folk wrestling in parts of Bengal), which does not involve stone throwing at all. This creates factual confusion.",বলি খেলায় পাথর নিক্ষেপের জন্য সাধারণত কোন হাত ব্যবহার করা হয়?,"['ক) এ�� হাতে', 'খ) উভয় হাতে', 'গ) গড়িয়ে', 'ঘ) লাথি মেরে']"
RBQ,Bangladesh_RBQ.xlsx,boli khela,বলি খেলা সাধারণত কোথায় খেলা হয়?,"ক) মাঠে, খ) স্টেডিয়ামে, গ) মন্দিরের উঠোনে, ঘ) সমুদ্র সৈকতে",ক) মাঠে,1,no mistake,no correction needed,no correction needed
RBQ,Bangladesh_RBQ.xlsx,boli khela,বলি খেলায় ইচ্ছাকৃতভাবে পাথরের ক্ষতি করার শাস্তি কী?,"ক) অযোগ্যতা, খ) পয়েন্ট কর্তন, গ) সতর্কতা, ঘ) কোন জরিমানা নেই",ক) অযোগ্যতা,0,"The question refers to 'বলি খেলা' (Boli Khela), which is not a recognized or standardized sport with official rules regarding stone damage. There is no known sport by this name in international or national sports regulations where intentional stone damage incurs a penalty like 'অযোগ্যতা' (disqualification). The question is factually incorrect and misleading, as it fabricates a context that does not exist in sports governance.",কোন খেলায় ইচ্ছাকৃতভাবে পাথরের ক্ষতি করার শাস্তি অযোগ্যতা?,"['ক) অযোগ্যতা', 'খ) পয়েন্ট কর্তন', 'গ) সতর্কতা', 'ঘ) কোন জরিমানা নেই']"
RBQ,Bangladesh_RBQ.xlsx,boli khela,বলি খেলায় বিরতির পর খেলাটি কীভাবে পুনরায় শুরু হয়?,"ক) ফ্রি থ্রো দিয়ে, খ) রেফারির সংকেতে, গ) শেষ পয়েন্টধারী দলটি পুনরায় শুরু করে, ঘ) উভয় দল একই সাথে পুনরায় সেট করে",খ) রেফারির সংকেতে,1,no mistake,no correction needed,no correction needed
RBQ,Bangladesh_RBQ.xlsx,boli khela,বলি খেলায় নিচের কোন কৌশলটি একটি সাধারণ কৌশল?,"ক) যত দ্রুত সম্ভব পাথর নিক্ষেপ করা, খ) নির্ভুলতার সাথে পাথর নিক্ষেপ করা, গ) প্রতিপক্ষ দলের মনোযোগ বিক্ষিপ্ত করা, ঘ) লক্ষ্যবস্তু রক্ষা করা",খ) নির্ভুলতার সাথে পাথর নিক্ষেপ করা,0,"The question refers to 'বলি খেলা' (Boli Khela), which is not a recognized sport. The options mention throwing stones ('পাথর নিক্ষেপ'), suggesting the intended sport is 'Kho Kho' or 'Stone Throwing' as a traditional game, but 'Boli Khela' is likely a mistranslation or misnomer. In reality, stone-throwing competitions exist in some regional traditions (e.g., in parts of Bangladesh/India), but they are not formalized sports with standardized rules like the options imply. The correct answer assumes precision in stone-throwing is a 'common strategy,' which may be plausible in context, but the question's premise is factually invalid.",নিচের কোন কৌশলটি পাথর নিক্ষেপ প্রতিযোগিতায় একটি সাধারণ কৌশল?,"['ক) যত দ্রুত সম্ভব পাথর নিক্ষেপ ক��া', 'খ) নির্ভুলতার সাথে পাথর নিক্ষেপ করা', 'গ) প্রতিপক্ষ দলের মনোযোগ বিক্ষিপ্ত করা', 'ঘ) লক্ষ্যবস্তু রক্ষা করা']"
RBQ,Bangladesh_RBQ.xlsx,boli khela,বলি খেলায় ডিফেন্ডিং দলের ভূমিকা কী?,"ক) পাথর ধরার জন্য, খ) লক্ষ্যবস্তু রক্ষার জন্য, গ) আক্রমণকারীদের মনোযোগ বিক্ষিপ্ত করার জন্য, ঘ) পাথর নিক্ষেপ করার জন্য",খ) লক্ষ্য রক্ষার জন্য,0,"The question incorrectly refers to 'বলি খেলা' (Boli Khela), which is not a recognized sport. The description and options (e.g., 'পাথর ধরার', 'পাথর নিক্ষেপ') suggest the question is intended to be about 'Kho Kho' or another traditional South Asian game involving chasing and defending, but 'Boli Khela' is either a mistranslation or a fictional term. Additionally, 'লক্ষ্যবস্তু রক্ষার জন্য' is vague and inconsistent with standard terminology in Kho Kho, where defenders (chasers) aim to tag opponents, not 'protect a target'. The correct answer option also contains a typo: 'লক্ষ্য রক্ষার জন্য' should match the option text 'লক্ষ্যবস্তু রক্ষার জন্য'.",খো খো খেলায় ডিফেন্ডিং দলের ভূমিকা কী?,"['��) পাথর ধরার জন্য', 'খ) আক্রমণকারীদের স্পর্শ করে বাদ দেওয়ার জন্য', 'গ) আক্রমণকারীদের মনোযোগ বিক্ষিপ্ত করার জন্য', 'ঘ) পাথর নিক্ষেপ করার জন্য']"
RBQ,Bangladesh_RBQ.xlsx,boli khela,"বলি খেলায়, খেলোয়াড়দের প্রশিক্ষণ দেওয়ার সবচেয়ে সাধারণ উপায় কী?","ক) লক্ষ্যবস্তুতে থ্রো অনুশীলন করে, খ) অন্যান্য দলের বিরুদ্ধে খেলে, গ) ভিডিও দেখে, ঘ) দৌড়ের ড্রিল করে",ক) লক্ষ্যবস্তুতে নিক্ষেপ অনুশীলন করে,0,"The question asks about 'বলি খেলা' (Boli Khela), which is not a recognized sport. It appears to be a mistranslation or misnomer for 'বোলিং' (Bowling) or possibly 'ক্রিকেট' (Cricket). The correct answer refers to 'লক্ষ্যবস্তুতে নিক্ষেপ অনুশীলন' (target throwing practice), which aligns with bowling or cricket batting/bowling drills, but the term 'বলি খেলা' is invalid in standard sports terminology. This makes the question factually incorrect and confusing.","বোলিং খেলায়, খেলোয়াড়দের প্রশিক্ষণ দেওয়ার সবচেয়ে সাধারণ উপায় কী?","['ক) লক্ষ্যবস্তুতে নিক্ষেপ অনুশীলন করে', 'খ) অন্যান্য দলের বিরুদ��ধে খেলে', 'গ) ভিডিও দেখে', 'ঘ) দৌড়ের ড্রিল করে']"
RBQ,Bangladesh_RBQ.xlsx,boli khela,বাংলাদেশের কোন অঞ্চলটি বলি খেলার জন্য সবচেয়ে বেশি পরিচিত?,"A) ঢাকা, B) চট্টগ্রাম, C) সিলেট, D) খুলনা",খ) চট্টগ্রাম,0,"The correct answer is labeled as 'খ) চট্টগ্রাম', but the option labels in the question are in English letters (A, B, C, D). This inconsistency makes the MCQ invalid. Additionally, 'বলি' is not a recognized sport in Bangladesh; it is likely a misspelling or misinterpretation of 'বাংলা বলি' or 'বলি খেলা', which may refer to 'Kabaddi' (কবাডি). The question lacks factual accuracy.",বাংলাদেশের কোন অঞ্চলটি কবাডি খেলার জন্য সবচেয়ে বেশি পরিচিত?,"['A) ঢাকা', 'B) চট্টগ্রাম', 'C) সিলেট', 'D) খুলনা']"
RBQ,Bangladesh_RBQ.xlsx,boli khela,বলি খেলাকে অন্যান্য ঐতিহ্যবাহী খেলা থেকে আলাদা করার প্রধান বৈশিষ্ট্য কী?,"ক) বলের আকার, খ) পাথরের ওজন, গ) লক্ষ্যবস্তুর ধরণ, ঘ) খেলোয়াড়ের সংখ্যা",খ) পাথরের ওজন,0,"The question is factually incorrect. 'বলি খেলা' (Boli Khela) is a traditional Bengali sport involving stone throwing, but it is not distinguished from other traditional sports primarily by 'পাথরের ওজন' (stone weight). The key distinguishing feature is the use of a heavy stone as the projectile and the technique of throwing it for distance, which is also common in similar traditional sports like 'Kila Raipur Sports' or 'Stone Put'. Moreover, 'পাথরের ওজন' is not a defining characteristic that uniquely sets Boli Khela apart — the nature of the target or the throwing method is more relevant. The correct distinguishing feature is typically the type of object used (stone) and the objective (distance throwing), not just weight. Option 'খ' is misleading and not logically the primary differentiator.",বলি খেলাকে অন্যান্য ঐতিহ্যবাহী খেলা থ��কে আলাদা করার প্রধান বৈশিষ্ট্য কী?,"['ক) বলের আকার', 'খ) পাথরের ব্যবহার', 'গ) লক্ষ্যবস্তুর ধরণ', 'ঘ) খেলোয়াড়ের সংখ্যা']"
RBQ,Bangladesh_RBQ.xlsx,boli khela,বলি খেলায় সাধারণত কয়টি রাউন্ড খেলা হয়?,"ক) ১ রাউন্ড, খ) ২ রাউন্ড, গ) ৩ রাউন্ড, ঘ) ৫ রাউন্ড",খ) ২ রাউন্ড,1,no mistake,no correction needed,no correction needed
RBQ,Bangladesh_RBQ.xlsx,boli khela,বলি খেলায় যদি কোনও দল একাধিকবার লক্ষ্যবস্তুতে আঘাত করে তাহলে কী হবে?,"ক) দলটি তাৎক্ষণিকভাবে জিতবে, খ) দলটি অতিরিক্ত পয়েন্ট অর্জন করবে, গ) রাউন্ড শেষ হবে, ঘ) খেলাটি পুনরায় সেট করা হবে",খ) দলটি অতিরিক্ত পয়েন্ট অর্জন করে,0,"The question refers to 'বলি খেলা' (Boli Khela), which is not a recognized sport. It appears to be a mistranslation or misnomer for 'Kabaddi'. In Kabaddi, multiple touches on the opponent do not grant 'additional points'—points are scored by tagging opponents during a raid, and multiple tags in one raid still count as one point per opponent tagged. The answer is factually incorrect for any real sport. The question is logically flawed due to the non-existent term 'বলি খেলা'.",কবাডি খেলায় যদি একজন রেইডার একটি রেইডে একাধিক প্রতিপক্ষকে স্পর্শ করে তাহলে কী হবে?,"['ক) দলটি তাৎক্ষণিকভাবে জিতবে', 'খ) দলটি প্রতিটি স্পর্শের জন্য একটি পয়েন��ট অর্জন করবে', 'গ) রাউন্ড শেষ হবে', 'ঘ) খেলাটি পুনরায় সেট করা হবে']"
RBQ,Bangladesh_RBQ.xlsx,boli khela,বলি খেলা খেলার বিজয়ী কে নির্ধারণ করে?,"ক) রেফারি, খ) দলের অধিনায়ক, গ) জনতা, ঘ) সংগঠক",ক) রেফারি,1,no mistake,no correction needed,no correction needed
RBQ,Bangladesh_RBQ.xlsx,boli khela,বলি খেলা ম্যাচে একটি দল সর্বোচ্চ কত পয়েন্ট করতে পারে?,"ক) ৫ পয়েন্ট, খ) ১০ পয়েন্ট, গ) ১৫ পয়েন্ট, ঘ) কোন সীমা নেই",ঘ) কোন সীমা নেই,0,"The question refers to 'বলি খেলা' (Boli Khela), which is not a recognized standardized sport with official scoring rules. It may be a regional or informal game, and claiming 'কোন সীমা নেই' (no limit) is speculative without authoritative sources. The question is misleading as it presents an undefined activity as if it has a known scoring system.",বলি খেলা হল একটি স্থানীয় খেলা। এই খেলায় একটি দল সর্বোচ্চ কত পয়েন্ট করতে পারে তা কি নির্দিষ্ট করা হয়েছে?,"['ক) ৫ পয়েন্ট', 'খ) ১০ পয়েন্ট', 'গ) ১৫ পয়েন্ট', 'ঘ) নির্দিষ্ট সীমা নেই']"
